test_subject,jump_nr,landing,trial,lower_back_jump_height,lower_back_tof,shin_jump_height,shin_tof,chest_jump_height,chest_tof,thigh_jump_height,thigh_tof,video_jump_height,video_tof
11,13,Semi in Soft pit,Near max,3.4851494554635067,1.3752498629999081,3.740312073060852,1.449000119999937,3.4499096296416036,1.3647499080000216,3.740312073060852,1.449000119999937,3.591,1.458
12,1,Competition,Sub max,2.7339119371886227,1.113624810999994,4.866112455924563,1.7265000339999972,3.197092443050505,1.2722499370000122,3.1115844310275067,1.2444996830000008,2.661,1.217
12,2,Competition,Sub max,3.0804810490799968,1.2342498300000102,7.035931631525348,2.1796255109999834,3.193977633597407,1.2712497720000044,2.884620990662812,1.1676249509999934,2.73,1.225
12,3,Competition,Near max,3.5234793419912736,1.3729999070000076,8.676171461303943,2.467499733000011,3.554697378862196,1.3822498320000136,3.492471035949487,1.3637497419999818,3.123,1.35
12,4,Competition,Near max,3.281314372098235,1.299000024999998,3.461674088810188,1.3544998169999758,10.215647388336624,2.7099997999999914,3.554697378862196,1.3822498320000136,3.227,1.367
12,5,Semi in Soft pit,Sub max,3.166059640578397,1.262249708000013,10.401014301079483,2.7377500530000134,6.845771333021603,2.143750190999981,3.1379578674490043,1.2531247140000232,2.87,1.25
12,6,Semi in Soft pit,Sub max,3.2797240871771214,1.298500061000027,14.06852841389992,3.2382497780000676,3.2797240871771214,1.298500061000027,3.2500177950552684,1.2891249660000312,3.002,1.275
12,7,Semi in Soft pit,Near max,3.487881476256425,1.3623752589999185,1.5584841619207206,0.5198748110000224,3.190866022594758,1.2702498429999878,3.4903846601053647,1.3631250859999682,3.174,1.358
12,8,Semi in Soft pit,Near max,3.278133661236268,1.297999859000015,5.905698729404229,1.9567499159999215,3.334947275654369,1.3157496449999826,3.5861259333737188,1.391499758000009,3.365,1.4
12,9,Soft pit,Sub max,3.310847565652611,1.3082499499998903,3.1897011045267654,1.2698752879998665,3.108538734601378,1.243499755999892,1.3820470513497798,0.19525003500007188,2.923,1.275
